,idLV,SG_UF,CD_LOCALIDADE_TSE,NM_LOCALIDADE,NR_ZONA,NR_LOCVOT,NM_LOCVOT,DS_ENDERECO,DS_BAIRRO,NR_CEP,n_locs,street_name,street_number,locality,postal_code,sub_locality,provider,latitude,longitude,dispersion,clusters_count,providers_count,levenshtein_match_street_name
18,308721861244,BA,30872,"DIAS D'ÁVILA",186,1244,"ESCOLA MUNICIPAL BOA VISTA DE SANTA HELENA","DISTRITO DE SANTA HELENA - ZONA RURAL","DISTRITO DE SANTA HELENA",42850000,1,"Rua Santa Helena",,"Dias d'Ávila",42850000,,arcgis_online,-12.600300547921,-38.322495494347,-1,1,1,0.26666666666667
19,308721861252,BA,30872,"DIAS D'ÁVILA",186,1252,"ESCOLA  MUNICIPAL FUTURAMA","DISTRITO DE JARDIM FUTURAMA - ZONA RURAL","DISTRITO DE JARDIM FUTURAMA",42850000,1,"Travessa Jardim de Souza",,"Dias d'Ávila",42850000,,arcgis_online,-12.6043065,-38.30219325,-1,1,1,0.22727272727273
20,308721861260,BA,30872,"DIAS D'ÁVILA",186,1260,"ESCOLA MUNICIPAL SÃO JOSÉ","RUA PRINCIPAL - ZONA RURAL","DISTRITO DE EMBOACICA",42850000,1
21,341341701023,BA,34134,CAMAÇARI,170,1023,"ESCOLA MUNICIPAL JOSE ALAN","RUA ABARE, S/N - ZONA URBANA","GLEBA C",42800000,9,"Rua Abaré",,Camaçari,42809051,Camaçari,here_geocoder,-12.70925,-38.3295699,-1,2,1,0.24242424242424
22,341341701031,BA,34134,CAMAÇARI,170,1031,"ESCOLA DO NATAL","RUA DO NATAL, N 124 - ZONA URBANA",BOMBA,42809070,11,"Rua do Natal",124,Camaçari,42809070,Camaçari,here_geocoder,-12.6967428,-38.320259,908.81562947012,1,3,0.33333333333333
23,341341701040,BA,34134,CAMAÇARI,170,1040,"COLEGIO ESTADUAL POLIVALENTE DE CAMACARI","RUA SANTA BERNADETE, N 16 - ZONA URBANA",CENTRO,42800030,6,"Rua Santa Bernadete",16,Camaçari,42800030,Camaçari,here_geocoder,-12.6988957,-38.3255126,815.36597343859,1,3,0.44186046511628
24,341341701058,BA,34134,CAMAÇARI,170,1058,"COLEGIO SAO THOMAZ DE CANTUARIA","RUA PONCIANO DE OLIVEIRA, N 27 - ZONA URBANA",CENTRO,42800100,15,"Rua Ponciano de Oliveira",27,Camaçari,42800100,Camaçari,here_geocoder,-12.6946044,-38.3181965,2555.9609673388,1,3,0.5
25,341341701074,BA,34134,CAMAÇARI,170,1074,"ESCOLA DOUTOR LUIZ ROGERIO","RUA ABARE, S/N - ZONA URBANA","GLEBA C",42805530,16,"Rua Abaré",,Camaçari,42809051,Camaçari,here_geocoder,-12.70925,-38.3295699,1764.3499732521,1,2,0.24242424242424
26,341341701082,BA,34134,CAMAÇARI,170,1082,"COLEGIO MARIA QUITERIA","RUA DO PONTO CERTO, S/N - ZONA URBANA","PONTO CERTO",42800000,17,"Rua Ponto Certo",,Camaçari,42801090,Camaçari,here_geocoder,-12.7102299,-38.31764,8.3822040884898,3,2,0.32608695652174
27,341341701090,BA,34134,CAMAÇARI,170,1090,"ESCOLA COSME DE FARIAS","RUA BEGONEAS, S/N - ZONA URBANA","PHOC I",42800000,16,"Rua das Begonhas",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.59605,-38.03682,529.25908280621,2,2,0.28571428571429
28,341341701104,BA,34134,CAMAÇARI,170,1104,"CENTRO DE EDUCACAO MUNICIPAL DE CAMACARI","RUA ARACY, S/N - ZONA URBANA","PHOC II",42805300,17,"Rua Araci",,Camaçari,42805,"Phoc II",google_maps,-12.7092591,-38.3326558,746.16138837867,2,2,0.27272727272727
29,341341701112,BA,34134,CAMAÇARI,170,1112,"ESCOLA LUIZ EDUARDO MAGALHAES","RUA LUIZ EDUARDO MAGALHAES, S/N -ZONA URBANA",CENTRO,42800420,15,"Rua Luiz Eduardo Magalhães",,Camaçari,42809051,Camaçari,here_geocoder,-12.70787,-38.29766,2240.3442782578,3,2,0.48979591836735
30,341341701120,BA,34134,CAMAÇARI,170,1120,"ESCOLA MUNICIPAL SONIA REGINA","RUA DA FLEXA S/N - ZONA URBANA","PHOC III",42804660,7,"Rua da Flecha",,Camaçari,42805,"Tancredo Neves",google_maps,-12.7194026,-38.335432,-1,1,1,0.2972972972973
31,341341701139,BA,34134,CAMAÇARI,170,1139,CAIC,"AV OESTE S/N - ZONA URBANA","PHOC I",42805002,6,"Avenida Oeste",,Camaçari,42805002,Camaçari,here_geocoder,-12.7064299,-38.32934,11.968685153656,4,2,0.36111111111111
32,341341701147,BA,34134,CAMAÇARI,170,1147,"ESCOLA ANISIO TEIXEIRA","CAMINHO 55 S/N - ZONA URBANA","GLEBA E",42804550,12,"Avenida Industrial Urbana",55,Camaçari,42802570,Camaçari,here_geocoder,-12.72013,-38.31125,-1,2,1,0.26470588235294
33,341341701155,BA,34134,CAMAÇARI,170,1155,"ESCOLA MARIA JOSE DE MATOS DA CONCEICAO","RUA ALTO DA BOA VISTA, N 44 - ZONA URBANA","GLEBA B",42800000,4,"Rua da Boa Vista",44,Camaçari,42805370,Camaçari,here_geocoder,-12.7124815,-38.3334296,71.507193826094,3,2,0.34782608695652
34,341341701163,BA,34134,CAMAÇARI,170,1163,"ESCOLA ANGIOLINA TEIXEIRA DE SOUZA","RUA EIXO E, 119 - ZONA URBANA",PIACAVEIRA,42802490,10,"Via Piaçareira",,Camaçari,42802,,arcgis_online,-12.709425287187,-38.3227515,843.84749585471,2,1,0.27027027027027
35,341341701171,BA,34134,CAMAÇARI,170,1171,"ESCOLA PADRE PAULO TANNUCCI","RUA PRACA DO COMERCIO, S/N - ZONA URBANA","NOVO HORIZONTE",42800000,11,"Praça do Comécio",s/n,Camaçari,42800005,"Novo Horizonte",google_maps,-12.6974407,-38.3090617,-1,5,1,0.25
36,341341701180,BA,34134,CAMAÇARI,170,1180,"ESCOLA LUIZ PEREIRA COSTA","TRAVESSA NOSSA SENHORA DO CARMO S/N - ZONA URBANA","DOIS DE JULHO",42802010,10,"Travessa Nossa Senhora do Carmo",2,Camaçari,42802010,Camaçari,here_geocoder,-12.7173503,-38.3323653,-1,2,1,0.50819672131148
37,341341701198,BA,34134,CAMAÇARI,170,1198,"ESCOLA MUNICIPAL SANTO ANTONIO DO MACHADINHO","FAZENDA MACHADINHO S/N - ZONA RURAL",MACHADINHO,42800000,5
38,341341701201,BA,34134,CAMAÇARI,170,1201,"CRECHE MUNICIPAL DA GLEBA C","RUA ABARE S/N - ZONA URBANA","GLEBA C",42800000,6,"Rua Abaré",,Camaçari,42809051,Camaçari,here_geocoder,-12.70925,-38.3295699,-1,2,1,0.24242424242424
39,341341701210,BA,34134,CAMAÇARI,170,1210,"ESPECIAL COLEGIO ESTADUAL POLIVALENTE DE CAMACARI","RUA SANTA BERNADETE, N 16 - ZONA URBANA",CENTRO,42800030,1,"Rua Santa Bernadete",16,Camaçari,42800030,Camaçari,here_geocoder,-12.6988957,-38.3255126,815.36597343859,1,3,0.44186046511628
40,341341701236,BA,34134,CAMAÇARI,170,1236,"COLÉGIO VIRGÍNIA REIS TUDE","RUA PETROLINA, S/N - ZONA URBANA","VERDES HORIZONTES",42800000,3,"Rua Petrolina",,Camaçari,42802,"Verdes Horizontes",google_maps,-12.7200341,-38.3191957,436.85297910495,2,3,0.27659574468085
41,341341701244,BA,34134,CAMAÇARI,170,1244,"COLÉGIO MUNICIPAL HILDEBRANDO LIMA FILHO","AV. RUI BARBOSA, SN","PARQUE DAS MANGABAS",42800000,1,"Avenida Rui Barbosa",,Camaçari,42809051,Camaçari,here_geocoder,-12.73258,-38.29651,16.404678064227,2,2,0.26315789473684
42,341341701252,BA,34134,CAMAÇARI,170,1252,"ESCOLA ILAY GARCIA ELLERY","RUA PRAÇA DO COMÉRCIO, S/N - ZONA URBANA","NOVO HORIZONTE",42800000,1,"Praça do Comécio",s/n,Camaçari,42800005,"Novo Horizonte",google_maps,-12.6974407,-38.3090617,-1,5,1,0.25
43,341341701260,BA,34134,CAMAÇARI,170,1260,"ESCOLA NORMAL","RUA PONCIANO DE OLIVEIRA, S/N - ZONA URBANA",CENTRO,42800000,1,"Rua Ponciano de Oliveira",,Camaçari,,Centro,google_maps,-12.6967911,-38.3182008,1546.9598884925,2,3,0.51063829787234
44,341341701279,BA,34134,CAMAÇARI,170,1279,"CENTRO EDUCACIONAL YOLANDA PIRES","RUA PRINCIPAL, S/N - ZONA URBANA","JARDIM LIMOEIRO",42800000,1,"Rua Lateral de Dentro",S/N,Camaçari,42801,"Jardim Limoeiro",google_maps,-12.706071,-38.3058366,-1,2,1,0.28888888888889
45,341341711023,BA,34134,CAMAÇARI,171,1023,"CENTRO EDUCACIONAL MARQUÊS DE ABRANTES","ESTRADA DE BURIS S/N - ZONA RURAL","POVOADO VILA DE ABRANTES",42800000,17,"Travessa Buris",,Camaçari,42840000,Abrantes,here_geocoder,-12.8277699,-38.26095,-1,1,1,0.21428571428571
46,341341711058,BA,34134,CAMAÇARI,171,1058,"ESCOLA MUNICIPAL TOMAZ DE CAMILO","RUA DA MANGUEIRA S/N - ZONA RURAL","POVOADO AREIAS",42800000,5,"Rua da Mangueira",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.59426,-38.0444699,-1,4,1,0.34782608695652
47,341341711066,BA,34134,CAMAÇARI,171,1066,"COLÉGIO MUNICIPAL PROFESSORA LÍDIA COELHO PINTO","RUA GUILHERME MACHADO S/N - ZONA RURAL","POVOADO AREMBEPE",42800000,11,"Rua Guilherme Machado",,Camaçari,42840000,Abrantes,here_geocoder,-12.77005,-38.17602,-1,1,1,0.39622641509434
48,341341711104,BA,34134,CAMAÇARI,171,1104,"ESCOLA MUNICIPAL BARRA DE JACUÍPE","RUA DAS FLORES S/N - ZONA RURAL","POVOADO BARRA DE JACUÍPE",42833000,7,"Rua das Flores",,Camaçari,42805300,Camaçari,here_geocoder,-12.72312,-38.33119,-1,3,1,0.25454545454545
49,341341711120,BA,34134,CAMAÇARI,171,1120,"CENTRO EDUCACIONAL BARRA DO POJUCA","RUA ELISIO NETO S/N - ZONA RURAL","POVOADO BARRA DO POJUCA",42825000,14,"Rua Elisio Neto",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.58901,-38.05172,729.43633218568,1,2,0.27777777777778
50,341341711155,BA,34134,CAMAÇARI,171,1155,"COLÉGIO ESTADUAL DE MONTE GORDO","RUA DO JACARÉ, S/N - ZONA URBANA","POVOADO MONTE GORDO",42800000,7,"Rua do Jacaré Dois",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.6496,-38.09347,-1,2,1,0.34
51,341341711171,BA,34134,CAMAÇARI,171,1171,"ESCOLA MUNICIPAL MACLINA MARIA DA GLÓRIA","RUA DIRETA DO PHOC DE ABRANTES S/N - ZONA RURAL",CENTRO,42800000,7,"Rua Direta",,Camaçari,42840000,Abrantes,here_geocoder,-12.83443,-38.29042,9.8596554586242,2,2,0.19230769230769
52,341341711180,BA,34134,CAMAÇARI,171,1180,"ESCOLA MUNICIPAL FÉLIX JOAQUIM DE MORAES","RUA DO CANARIO S/N - ZONA URBANA","CAMAÇARI DE DENTRO",42800000,9,"Rua Canário",,Camaçari,42807030,Camaçari,here_geocoder,-12.69887,-38.33464,15.97158711275,1,2,0.22
53,341341711198,BA,34134,CAMAÇARI,171,1198,"ESCOLA GONCALO MUNIZ","RUA DA ESCOLA CONVENIO 377 - ZONA URBANA","CAMAÇARI DE DENTRO",42800000,8,"Rua da Escola Convênio",377,Camaçari,42806120,Camaçari,here_geocoder,-12.70408,-38.33262,1762.5638155149,1,3,0.36206896551724
54,341341711201,BA,34134,CAMAÇARI,171,1201,"CENTRO EDUCACIONAL MONTEIRO LOBATO","RUA SAO BENTO S/N - ZONA URBANA",CENTRO,42800000,12,"Rua São Bento",,Camaçari,42806085,Camaçari,here_geocoder,-12.70461,-38.33168,325.70717839543,1,3,0.33333333333333
55,341341711210,BA,34134,CAMAÇARI,171,1210,"ESCOLA MUNICIPAL CATU DE ABRANTES","LOTEAMENTO CURVA DO RIO S/N - ZONA URBANA","POVOADO CATU DE ABRANTES",42800000,6,"Rua Catu de Abrantes",,Camaçari,42840000,Abrantes,here_geocoder,-12.85939,-38.28769,-1,1,1,0.3125
56,341341711279,BA,34134,CAMAÇARI,171,1279,"ESCOLA SÃO SALVADOR","RUA COQUEIRO DE MONTE GORDO - ZONA RURAL","POVOADO MONTE GORDO",42827000,2
57,341341711287,BA,34134,CAMAÇARI,171,1287,"ESCOLA MUNICIPAL PROFESSORA LAURITA SOUZA RIBEIRO","AVENIDA RADIAL A 178 - ZONA URBANA",DERBA,42800005,8,"Avenida Radial A",178,Camaçari,42807000,Camaçari,here_geocoder,-12.6970594,-38.3340519,1124.3075587564,5,2,0.42105263157895
58,341341711295,BA,34134,CAMAÇARI,171,1295,"ESCOLA ESTADUAL JOSÉ DE FREITAS MASCARENHAS","AVENIDA DO CANAL S/N - ZONA URBANA","GLEBA A",42800000,17,"Avenida do Canal",,Camaçari,,"Gleba A",google_maps,-12.6924149,-38.3353413,-1,3,1,0.4
59,341341711309,BA,34134,CAMAÇARI,171,1309,"CENTRO EDUCACIONAL REITOR EDGAR SANTOS","RUA JOAO ARAUJO S/N - ZONA URBANA","GLEBA A",42707290,4,"Rua João Araújo",,Camaçari,42807,"Gleba A",google_maps,-12.6927383,-38.3360097,39.045472658839,2,3,0.28205128205128
60,341341711317,BA,34134,CAMAÇARI,171,1317,"ESCOLA MUNICIPAL DENISE TAVARES","RUA RADIAL C S/N - ZONA URBANA","GLEBA B",42809580,15,"Avenida Radial C",,Camaçari,42808010,Camaçari,here_geocoder,-12.69207,-38.32661,-1,3,1,0.22222222222222
61,341341711333,BA,34134,CAMAÇARI,171,1333,"CENTRO SOCIAL DE TRABALHO E CIDADANIA (CSTC)","AVENIDA DO CANAL S/N - ZONA URBANA",GRAVATÁ,42800000,8,"Avenida do Canal",,Camaçari,,Gravatá,google_maps,-12.6872521,-38.3341049,3678.3644358549,1,3,0.39024390243902
62,341341711341,BA,34134,CAMAÇARI,171,1341,"ESCOLA MUNICIPAL HELENA CELESTINO MAGALHÃES","AVENIDA DO CANAL S/N - ZONA URBANA",GRAVATÁ,42800000,19,"Avenida do Canal",,Camaçari,,Gravatá,google_maps,-12.6872521,-38.3341049,3678.3644358549,1,3,0.39024390243902
63,341341711384,BA,34134,CAMAÇARI,171,1384,"CENTRO EDUCACIONAL TANCREDO NEVES","ESTRADA DE JAUA S/N - ZONA RURAL",CENTRO,42800000,8,"Rua do Centro",,Camaçari,42820000,"Monte Gordo",here_geocoder,-12.62032,-38.05731,-1,1,1,0.32432432432432
64,341341711392,BA,34134,CAMAÇARI,171,1392,"ESCOLA MUNICIPAL CONCEIÇÃO DE MARIA","LARGO DOIS DE JULHO S/N - ZONA RURAL","POVOADO PARAFUSO",42849990,7
