X1,LOCAL_VOTACAO,FORNECIDOS,OBTIDOS
657,ESCOLA ESTADUAL DOM PEDRO II,CURITIBA - AVENIDA BISPO DOM JOSE  2567. CEP: 80440080,"Curitiba - Rua Bispo Dom José, 2567. CEP: 80440080"
664,COLEGIO NOVO ATENEU,"CURITIBA - AV. NOSSA SENHORA APARECIDA, 1468. CEP: 80310110","Curitiba - Avenida Nossa Senhora Aparecida, 1468. CEP: 80310"
665,CLUBE CURITIBANO (SEDE ADMINISTRATIVA),"CURITIBA - AV. GETULIO VARGAS, 2857. CEP: 80240040","Curitiba - Avenida Presidente Getúlio Vargas, 2857. CEP: 80240040"
735,COLÉGIO ESTADUAL PAULO LEMINSKI,"CURITIBA - AV CORONEL AUGUSTO DE ALMEIDA GARRET, N. 135, PRÓXIMO AO DETRAN. CEP: 82820520","Curitiba - Avenida Coronel Augusto de Almeida Garret, 135. CEP: 82821002"
738,COLEGIO ESTADUAL MÁXIMO ATÍLIO ASINELLI,"CURITIBA - RUA JÚLIO WISCHRAL, N. 650, UBERABA DE CIMA. CEP: 81540590","Curitiba - Rua Júlio Wischral, 650. CEP: 81540590"
778,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN,"CURITIBA - RUA VELCY BOLÍVAR GRANDÓ, S/N. CEP: 81560615","Curitiba - Rua Velcy Bolívar Grandó, NA. CEP: 81560615"
787,ESCOLA MUNICIPAL PAPA JOAO XXIII,"CURITIBA - RUA ITACOLOMI,  700 - VILA LEAO. CEP: 81070150","Curitiba - Rua Itacolomi, 700. CEP: 81070150"
792,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS,"CURITIBA - RUA JOAO DEMBINSKI, 700. CEP: 81270330","Curitiba - Rua João Dembinski, 700. CEP: 81270330"
818,ESCOLA MUNICIPAL SYBILLA WILLE DE LACERDA,"LAPA - AVENIDA ALOISEO LEONI, S/N. CEP: 83750000","Lapa - Avenida Aloísio Leoni, NA. CEP: 83750000"
849,ESCOLA MUNICIPAL PROFESSOR DAVID DA SILVA CARNEIRO (DAVID CARNEIRO),"LAPA - R PROF AUGUSTO MARIANO JUNIOR, S/N. CEP: 83750000","Lapa - Rua Professor Augusto Mariano Júnior, NA. CEP: 83750000"
867,ESCOLA RURAL MUNICIPAL JOAO CHEDE(DESATIVADA),MANDIRITUBA - CHIMBOVEIRO. CEP: 83800000,"Mandirituba - Rua João Mendes, 1-191. CEP: 83800000"
878,HOSPITAL SAO ROQUE,PIRAQUARA - AV BRASILIA-COLONIA SAO ROQUE. CEP: 83301390,"Piraquara - Avenida Brasília, NA. CEP: 83301390"
886,ESCOLA RURAL MUNICIPAL DONA JULIA WANDERLEY,"PIRAQUARA - RUA VAGNER LUIZ BOSCARIN, 55. CEP: 83307286","Piraquara - Rua Vagner Luis Boscardin, 55. CEP: NA"
894,ESCOLA MUNICIPAL OLGA RIBAS MARTINS,"PIRAQUARA - RUA GLORIA, 156. CEP: 83302090","Piraquara - Rua Glória, 156. CEP: 83302090"
915,ESCOLA RURAL MUNICIPAL FRANCISCO ALVES DE BASTOS,"QUITANDINHA - ESTRADA PRINCIPAL, S/N - ZONA RURAL. CEP: 83860000","Quitandinha - Estrada Rural, NA. CEP: 83840000"
953,ESCOLA RURAL MUNICIPAL DA RIBEIRINHA,"RIO BRANCO DO SUL - ESTRADA DA RIBEIRA, S/N. CEP: 83540000","Rio Branco do Sul - Rua Padre Ribeiro, NA. CEP: 83540000"
954,ESCOLA RURAL MUNICIPAL DARCY LEONEL DE FARIA,"RIO BRANCO DO SUL - ESTRADA DA RIBEIRA, S/N. CEP: 83540000","Rio Branco do Sul - Rua Doutor Zoni 18, 18. CEP: 83540000"
981,COLÉGIO ESTADUAL ANITA CANET,"SÃO JOSÉ DOS PINHAIS - RUA CAPITÃO BENJAMIM CLAUDINO BARBOSA, 13440. CEP: 83090250","São José dos Pinhais - Rua Benjamin Claudino Barbosa, 13498. CEP: 83090250"
994,ESCOLA MUNICIPAL FRANCISCO XAVIER DA SILVA,"SÃO JOSÉ DOS PINHAIS - RUA BENJAMIM NEGOSEKI, 20.001. CEP: 83025000","São José dos Pinhais - Rua Benjamin Negoseki 20, 20. CEP: 83021250"
1008,ESCOLA MUNICIPAL JOSE DE ANCHIETA,"SÃO JOSÉ DOS PINHAIS - R IAPO, 360. CEP: 83025480","São José dos Pinhais - Rua Iapó 360, 360. CEP: 83025480"
1017,CENTRO ESTADUAL DE EDUCAÇAO BÁSICA PARA JOVENS E ADULTOS,"SÃO JOSÉ DOS PINHAIS - R MENDES LEITÃO, 2724 - CENTRO. CEP: 83005150","São José dos Pinhais - Rua Mendes Leitão, 2724. CEP: 83005150"
1036,ESCOLA RURAL MUNICIPAL EMILIANO PERNETA,TIJUCAS DO SUL - PR 281 KM 04. CEP: 83190000,"Tijucas do Sul - PR-281 04, 04. CEP: 83190000"
